match_id,title_id
4,3
20,757
21,3
22,2
56,20
88,20
91,650
95,558
96,557
100,1457
180,94
188,3373
191,3125
192,1723
195,532
217,2535
219,5090
227,534
228,1028
229,529
230,96
231,94
232,1558
236,2143
250,179
266,4331
267,4578
280,121
281,122
282,875
334,3125
338,2214
340,3373
341,1723
342,1723
354,491
381,179
401,773
404,773
419,557
420,557
421,557
422,557
423,557
424,557
425,557
426,557
438,144
456,181
461,558
464,557
482,20
509,148
510,145
515,92
520,986
529,3819
559,1028
595,62
598,3800
607,902
626,179
633,2768
635,1555
648,20
649,138
654,20
667,20
670,4380
673,4380
687,5
688,103
691,1272
695,1272
696,650
699,181
714,181
716,650
719,558
720,557
725,143
726,142
727,144
728,140
760,740
781,122
786,755
787,150
852,1026
854,557
858,2266
867,91
896,96
915,1154
916,1154
917,1154
918,1154
919,1154
920,1154
921,1154
933,314
949,96
950,96
951,96
952,96
953,96
954,96
955,96
978,18
1010,787
1011,264
1015,649
1016,315
1017,314
1018,311
1031,787
1069,20
1073,529
1074,529
1075,529
1076,529
1091,787
1092,264
1099,717
1100,461
1133,179
1137,3822
1161,60
1189,877
1194,757
1198,3
1199,2
1214,62
1225,495
1233,1020
1257,16
1274,1528
1280,1528
1281,780
1285,179
1318,170
1325,1912
1326,1789
1327,3237
1336,61
1338,60
1339,18
1341,20
1345,16
1353,60
1363,60
1386,1912
1392,3679
1399,16
1401,61
1402,20
1403,62
1405,904
1420,20
1432,826
1461,25
1463,24
1467,170
1469,2021
1474,1789
1491,226
1506,314
1517,181
1518,1196
1519,558
1540,826
1556,264
1563,123
1573,1100
1597,528
1611,234
1659,1868
1697,4799
1746,60
1747,16
1759,181
1760,558
1770,4227
1773,3754
1775,224
1779,20
1784,91
1785,91
1786,91
1796,20
1838,143
1865,787
1866,264
1868,1859
1869,2021
1874,1789
1877,138
1895,20
1938,54
1945,787
1948,4380
1952,2964
1964,1576
2018,4370
2026,5424
2027,576
2035,5424
2036,4370
2037,4392
2038,5224
2040,4392
2041,4331
2090,229
2116,3
2119,2
2140,20
2150,20
2151,904
2157,16
2169,198
2182,179
2183,1865
2201,179
2204,790
2206,264
2207,521
2213,1856
2217,166
2221,1272
2237,60
2238,16
2251,18
2255,226
2256,5371
2294,151
2302,229
2304,1333
2307,1671
2334,4227
2336,134
2338,5552
2339,131
2340,1997
2342,180
2343,345
2344,179
2351,16
2354,17
2356,20
2363,1741
2430,525
2433,122
2450,20
2452,16
2454,14
2457,60
2467,122
2474,826
2495,345
2500,20
2506,145
2512,345
2513,179
2518,1734
2520,91
2530,16
2535,17
2544,1977
2552,16
2561,314
2575,524
2587,3412
2615,54
2633,59
2640,179
2645,3747
2651,121
2663,59
2729,264
2730,167
2750,314
2751,315
2754,20
2756,757
2763,96
2774,234
2802,1856
2806,179
2858,93
2871,787
2908,16
2926,24
2942,96
2965,1172
2965,525
2976,1741
2977,461
2980,3796
2994,54
3005,61
3005,60
3019,91
3042,122
3050,54
3082,140
3087,94
3116,18
3139,528
3140,522
3143,1272
3144,122
3154,557
3160,54
3164,166
3184,179
3207,60
3212,134
3224,179
3225,740
3230,739
3255,148
3293,1977
3294,1977
3316,180
3321,60
3325,1856
3341,757
3342,576
3347,4380
3348,4380
3351,739
3352,740
3354,181
3380,152
3398,3754
3423,16
3425,60
3430,744
3439,1559
3452,827
3453,479
3496,2
3505,20
3536,179
3541,138
3564,787
3565,264
3579,229
3580,54
3596,650
3597,181
3598,558
3599,650
3600,557
3618,311
3619,649
3625,20
3665,4392
3667,5224
3669,4370
3672,4331
3673,264
3716,803
3729,2021
3734,1789
3751,3441
3754,1903
3756,741
3757,740
3758,739
3778,179
3802,166
3811,3412
3814,16
3831,757
3833,2
3857,16
3864,229
3869,20
3871,758
3892,60
3901,461
3907,1631
3908,1631
3953,148
3954,121
3962,152
3991,54
4015,181
4016,1026
4019,557
4024,20
4060,20
4072,264
4091,137
4123,229
4137,4578
4139,4370
4150,152
4172,138
4183,4380
4187,2598
4214,495
4229,2021
4231,1789
4243,60
4252,229
4262,16
4267,59
4271,4066
4274,2906
4286,1448
4331,170
4335,1169
4354,23
4362,60
4375,60
4376,759
4377,758
4400,557
4425,717
4434,144
4458,717
4473,25
4474,24
4483,3119
4490,5065
4505,3117
4510,2906
4511,20
4512,16
4513,3116
4536,54
4543,181
4545,557
4556,179
4560,1029
4562,495
4570,757
4573,3
4595,16
4603,650
4607,650
4612,18
4614,16
4615,20
4616,181
4653,179
4672,181
4677,20
4686,20
4728,224
4758,904
4759,16
4776,62
4786,4380
4790,1903
4805,20
4811,532
4833,650
4835,181
4836,428
4836,558
4837,3129
