title_id,name
2227,King Of FREEDOM Tag Team Championship
3441,KO-D Ten Man Tag Team Championship
3441,KO-D Eight Man Tag Team Championship
3441,KO-D Ten Man Tag Team Championship
3656,Smash Tag Team Championship
1968,EVOLVE Championship
4999,BWM Championship
4040,IPW Junior Heavyweight   Championship
2714,PPW Heavyweight   Championship
1903,KO-D Six Man Tag Team Championship
181,Impact X-Division Championship
181,GFW X-Division Championship
181,Impact X-Division Championship
181,TNA X-Division Championship
181,NWA TNA X Championship
104,AAA World Mini's Championship
577,WEW Tag Team Championship
555,UWA World Light Heavyweight Championship
1558,NWA World Historic Middleweight Championship
5552,NWA United States Tag Team       Championship
4805,PWF United States Heavyweight  Championship
4805,United States Heavyweight  Championship
2391,MAX Maximo Championship
2391,MAX Heavyweight Championship
4476,BJW Women's Championship
1202,Distrito Federal Tag Team Championship
3107,AWA International Television Championship
314,Open The Triangle Gate Championship
3129,Impact Grand Championship
3129,IMPACT Grand Championship
4000,WWE NXT UK Tag Team Championship
2998,SWA Undisputed World Women's Championship
1912,WWE NXT Tag Team Championship
69,WWA World Welterweight Championship
225,MLW Junior Heavyweight Championship
4214,TNT World Championship
2327,Union Pro Fly To Everywhere World Championship
3182,EMW World Middleweight Championship
4603,Montreal World Heavyweight Championship
142,GHC Junior Heavyweight Championship
3625,Zelo Pro Women's Championship
150,WCW World Television Championship
1802,Occidente Heavyweight Championship
1040,NWA Mid-America Heavyweight Championship
1997,NWA World Women's Tag Team Championship
2416,ROW Television Championship
2416,ROW Internet Championship
5954,FUCK! U-30 Inter Natural Championship
5821,NJPW World Television Championship
3057,AML Prestige Championship
19,WWE Cruiserweight Championship
19,WWF Cruiserweight Championship
19,WCW Cruiserweight Championship
5764,GP MAX Openweight Championship
5967,SGP Global Junior Heavyweight Championship
102,AAA Americas Championship
102,AAA World Heavyweight  Championship
4219,WWE 24/7 Championship
4658,Pan-Afrikan World Diaspora Wrestling World Championship
4658,Pan-Afrikan World Diaspora Wrestling Championship
464,WEW Heavyweight Championship
464,WEW World Heavyweight Championship
4382,IRON FIST Tag Team Championship
2673,GFW NEXGEN Championship
5691,IWGP Women's Championship
576,NWA World Light Heavyweight Championship
1082,AAA Mascota Tag Team Championship
120,ROH Pure Championship
120,ROH Pure Wrestling Championship
170,SMW Tag Team Championship
3250,J1 Heavyweight Championship
1353,Occidente Tag Team Championship
3052,NWF North American Heavyweight Championship
3052,NWA Upstate North American Heavyweight Championship
2159,FUW Tag Team Championship
2159,NWA FUW Tag Team Championship
2159,FUW Tag Team Championship
524,Mexican National Women's Championship
2948,WrestlePro Tag Team Championship
3669,Future Of Stardom Championship
3291,NKPWA Heavyweight Championship
2680,IWA World Heavyweight    Championship
4578,AEW TNT Championship
1028,CMLL World Trios Championship
403,Tenryu Project International Junior Heavyweight Championship
403,WAR International Junior Heavyweight Championship
403,J-Crown Championship
403,WAR International Junior Heavyweight Championship
2906,WWE Women's  Championship
2906,WWE RAW Women's Championship
2906,WWE Women's  Championship
1783,FUW Heavyweight Championship
1783,NWA FUW Heavyweight Championship
1783,FUW Heavyweight Championship
4503,DDT Universal Championship
355,Anarchy Heavyweight Championship
355,NWA Anarchy Heavyweight Championship
60,World Tag Team Championship
