title_id,name,promotion,active,rating,votes
222,MPW Tohoku Junior Heavyweight Championship,82.0,True,,
3280,Crown Of Glory Championship,1924.0,True,,
3873,EVE International Championship,659.0,True,,
744,BJW Heavyweight Championship,117.0,False,,
540,ECCW Championship,134.0,True,,
6019,NJPW STRONG Women's Championship,7.0,True,,
1629,REINA World Tag Team Championship,752.0,False,,
3571,PWR Tag Team    Championship,1779.0,True,,
717,BJW Tag Team Championship,117.0,True,8.85,13.0
3119,WWE NXT Cruiserweight Championship,1.0,False,7.04,113.0
840,SSW Heavyweight Championship,204.0,True,,
3028,Dove Pro Heavyweight Championship,1772.0,True,,
2227,King Of FREEDOM World Tag Team Championship,602.0,True,8.0,1.0
3441,KO-D Ten Man Tag Team Championship,118.0,True,8.0,1.0
3656,Smash Tag Team Championship,992.0,True,,
1968,EVOLVE Championship,601.0,False,8.89,36.0
4999,BWM Championship,3005.0,True,,
4040,IPW Junior Heavyweight   Championship,1468.0,False,,
2714,PPW Heavyweight   Championship,1526.0,True,,
1903,KO-D Six Man Tag Team Championship,118.0,True,7.44,9.0
181,Impact X-Division Championship,5.0,True,8.32,189.0
104,AAA World Mini's Championship,122.0,True,,
577,WEW Tag Team Championship,2165.0,True,,
555,UWA World Light Heavyweight Championship,68.0,False,,
1558,NWA World Historic Middleweight Championship,78.0,True,,
5552,NWA United States Tag Team       Championship,9.0,True,6.0,1.0
4805,PWF United States Heavyweight  Championship,6.0,False,,
2391,MAX Maximo Championship,957.0,True,,
4476,BJW Women's Championship,117.0,False,,
1202,Distrito Federal Tag Team Championship,,True,,
3107,AWA International Television Championship,41.0,False,,
314,Open The Triangle Gate Championship,96.0,True,8.68,19.0
3129,Impact Grand Championship,5.0,False,4.13,24.0
4000,WWE NXT UK Tag Team Championship,1.0,False,7.98,43.0
2998,SWA Undisputed World Women's Championship,701.0,True,5.43,14.0
1912,WWE NXT Tag Team Championship,1.0,True,8.37,150.0
69,WWA World Welterweight Championship,123.0,True,,
225,MLW Junior Heavyweight Championship,22.0,False,,
4214,TNT World Championship,1530.0,True,,
2327,Union Pro Fly To Everywhere World Championship,615.0,False,,
3182,EMW World Middleweight Championship,1753.0,True,,
4603,Montreal World Heavyweight Championship,2173.0,False,,
142,GHC Junior Heavyweight Championship,8.0,True,8.34,41.0
3625,Zelo Pro Women's Championship,2072.0,True,,
150,WCW World Television Championship,2.0,False,6.82,50.0
1802,Occidente Heavyweight Championship,78.0,True,,
1040,NWA Mid-America Heavyweight Championship,2811.0,False,,
1997,NWA World Women's Tag Team Championship,9.0,True,1.5,2.0
2416,ROW Television Championship,304.0,True,,
5954,FUCK! U-30 Inter Natural Championship,3558.0,False,,
5821,NJPW World Television Championship,7.0,True,8.0,1.0
3057,AML Prestige Championship,1428.0,True,,
19,WWE Cruiserweight Championship,1.0,False,5.47,145.0
5764,GP MAX Openweight Championship,2793.0,True,,
5967,SGP Global Junior Heavyweight Championship,3237.0,True,,
102,AAA Americas Championship,122.0,False,,
4219,WWE 24/7 Championship,1.0,False,2.18,143.0
4658,Pan-Afrikan World Diaspora Wrestling World Championship,2762.0,True,,
464,WEW Heavyweight Championship,2165.0,True,4.5,2.0
4382,IRON FIST Tag Team Championship,2649.0,True,,
2673,GFW NEXGEN Championship,1303.0,False,7.0,7.0
5691,IWGP Women's Championship,745.0,True,7.0,3.0
576,NWA World Light Heavyweight Championship,9.0,False,,
1082,AAA Mascota Tag Team Championship,122.0,True,,
120,ROH Pure Championship,4.0,True,8.95,74.0
170,SMW Tag Team Championship,32.0,False,7.0,3.0
3250,J1 Heavyweight Championship,161.0,False,,
1353,Occidente Tag Team Championship,78.0,True,,
3052,NWF North American Heavyweight Championship,739.0,False,,
2159,FUW Tag Team Championship,768.0,True,,
524,Mexican National Women's Championship,78.0,True,,
2948,WrestlePro Tag Team Championship,1654.0,True,,
3669,Future Of Stardom Championship,745.0,True,6.75,12.0
3291,NKPWA Heavyweight Championship,529.0,True,,
2680,IWA World Heavyweight    Championship,1153.0,False,,
4578,AEW TNT Championship,2287.0,True,6.71,144.0
1028,CMLL World Trios Championship,78.0,True,,
403,Tenryu Project International Junior Heavyweight Championship,644.0,True,,
2906,WWE Women's  Championship,1.0,True,7.19,135.0
1783,FUW Heavyweight Championship,768.0,True,,
4503,DDT Universal Championship,118.0,True,8.41,17.0
355,Anarchy Heavyweight Championship,54.0,False,,
60,World Tag Team Championship,1.0,False,7.27,154.0
1554,AAA World Trios Championship,122.0,True,,
2201,NWA FUW Flash Championship,768.0,True,,
23,AJPW World Junior Heavyweight Championship,6.0,True,7.0,16.0
650,Impact Knockouts World Championship,5.0,True,7.93,105.0
4332,O-40 Championship,118.0,True,7.0,2.0
392,IWGP U-30 Openweight Championship,7.0,False,,
4298,Horror Slam Deathmatch Championship,2544.0,True,,
2711,Yokohama Shopping Street Six Man Tag Team Championship,117.0,True,5.0,2.0
198,World Class World Heavyweight Championship,62.0,False,8.0,3.0
432,NWA International Junior Heavyweight Championship,9.0,False,10.0,2.0
2299,FULL World Championship,939.0,False,,
2315,HOG Heavyweight Championship,919.0,True,,
1501,EVE Championship,257.0,True,,
1172,WWA World Tag Team  Championship,123.0,True,,
645,Open The Owarai Gate Championship,96.0,False,,
2535,GWC Six Man Tag Team Championship,1413.0,False,,
534,CMLL World Mini Estrella Championship,78.0,True,,
1819,REINA-CMLL International Championship,752.0,False,,
1559,NWA World Historic Welterweight Championship,78.0,True,10.0,1.0
2974,Kaiju Double Danger Tandem Championship,1024.0,True,,
3237,WWE NXT United Kingdom Championship,1.0,False,9.15,124.0
2675,AML Tag Team Championship,1428.0,True,,
14,WWE Hardcore Championship,1.0,False,4.59,167.0
523,Mexican National Mini's Championship,122.0,False,,
138,NWA World Middleweight Championship,78.0,False,,
