event_id,broadcast_type,broadcast_date,tv_station_network,tv_rating
48398,Taped,1999-12-10,lokale TV Sender (USA),
12542,Live,2007-07-15,Samurai! TV,
296888,Live,2020-11-22,,
353520,Taped,2022-10-11,FITE TV,
249878,Taped,2019-12-06,lokale TV Sender (USA),
342797,Taped,2022-05-12,AXS TV,
125510,Taped,2015-02-26,Syfy,
196661,Taped,1977-05-07,lokale TV Sender (USA),
394181,Taped,1981-05-02,lokale TV Sender (USA),
155993,Live,2016-12-02,PPV Sender,
78623,Taped,2012-04-21,Televisa Deportes,
335729,Taped,2022-04-07,BT Sport,
254753,Taped,1977-12-31,,
203081,Live,2018-07-21,DDTuniverse.com,
324511,Live,2021-10-26,USA Network,
71804,Taped,,TV Asahi,
350187,Live,2022-08-24,Wrestle Universe,
318778,Taped,1990-11-24,TBS,
223057,Taped,,AJPW.tv,
353960,Live,2022-10-26,Samurai! TV,
363114,Live,2023-07-05,TBS,
4638,Taped,2002-12-19,UPN,3.3
364205,Live,2023-05-01,USA Network,
183382,Taped,2017-09-06,WWE Network,
206750,Live,2018-08-25,DDTuniverse.com,
325594,Live,2021-12-03,Samurai! TV,
248884,Live,2019-12-02,USA Network,
198032,Taped,1976-01-17,lokale TV Sender (USA),
62820,Taped,2011-04-26,WWE.com,
228837,Live,2019-04-14,DDTuniverse.com,
17763,Taped,1994-02-13,lokale TV Sender (USA),
111156,Taped,2014-05-15,WWE Network,
40959,Taped,2009-07-13,J-SPORTS ESPN,
17668,Taped,1993-06-20,lokale TV Sender (USA),
293647,Live,2020-10-11,Dragon Gate Network,
117826,Taped,2014-09-20,52MX,
108020,Live,2014-03-04,WWE Network,
136918,Taped,2015-08-22,Televisa Deportes,
37781,Taped,2009-01-05,,
109834,Live,2014-04-24,Samurai! TV,
353536,Taped,2022-12-16,TNT,
317160,Taped,2021-07-06,FITE TV,
97062,Taped,2013-06-19,ion Television,
184558,Taped,,,
336831,Live,1997-05-18,,
207191,Taped,1983-08-13,,
113815,Taped,2015-02-06,PPV Sender,
128165,Taped,2015-04-18,Televisa Deportes,
364521,Live,2023-06-24,FITE TV,
227241,Live,2019-03-26,WWE Network,
275483,Taped,2020-07-10,NJPWWorld.com,
221704,Taped,2019-01-31,Hulu,
18658,Taped,1993-10-03,TBS,
274342,Live,2020-06-14,WWE Network,
239140,Live,2019-09-01,DDTuniverse.com,
200059,Taped,2018-06-07,Fight Network,
1720,Live,2000-07-09,,
16302,Taped,1986-12-28,lokale TV Sender (USA),
124970,Taped,2015-02-07,CadenaTres,
203311,Live,2018-07-23,USA Network,
391487,Taped,1990-04-21,TBS,
194292,Taped,1986-06-02,USA Network,
138475,Taped,1993-02-07,TBS,
147605,Taped,2016-02-25,USA Network,
11974,Taped,2007-06-04,lokale TV Sender (USA),
183618,Taped,2017-09-13,WWE Network,
94688,Taped,,lokale TV Sender (USA),
184811,Live,2017-10-08,Samurai! TV,
2561,Taped,2004-05-06,UPN,2.8
136561,Taped,,niconico.jp,
37435,Taped,1986-02-08,lokale TV Sender (USA),
161669,Taped,2016-09-17,Televisa Deportes,
365022,Live,2023-07-08,FITE TV,
56603,Taped,,TV Asahi,
309204,Taped,2021-05-28,WWE Network,
5570,Live,2001-11-30,Nippon TV,
32790,Taped,2008-11-30,lokale TV Sender (USA),
171576,Live,2017-04-09,TV Asahi,
197528,Live,2018-04-17,AbemaTV,
22391,Taped,,Samurai! TV,
386188,Taped,1991-09-22,TBS,
255692,Taped,2020-02-27,DDTuniverse.com,
237072,Live,2019-09-10,Dragon Gate Network,
314235,Taped,1999-12-18,TBS,
6231,Taped,1998-04-17,TBS,
374906,Taped,2023-11-03,TNT,
69209,Taped,1993-10-09,Televisa Deportes,
391582,Taped,2024-04-05,TNT,
340697,Taped,1986-09-09,ESPN,
1515,Taped,2004-12-03,FSN,0.3
3825,Taped,1999-01-16,Syndication,
64582,Taped,1980-08-17,ESPN,
150335,Taped,,,
64563,Taped,1980-06-15,ESPN,
15758,Taped,1996-05-04,lokale TV Sender (USA),
140125,Taped,1975-03-15,,
16222,Taped,2002-01-05,lokale TV Sender (USA),
179870,Taped,2017-07-30,Gaora TV,
151396,Live,2016-06-12,PPV Sender,
357473,Taped,2023-02-17,TNT,
6820,Taped,2000-03-15,TBS,2.0
200812,Taped,,lokale TV Sender (USA),
207653,Taped,,,
72468,Taped,1983-12-09,TV Asahi,
15984,Taped,,Samurai! TV,
5683,Taped,,Nippon TV,
19412,Taped,,Gaora TV,
18174,Taped,1985-02-23,lokale TV Sender (USA),
46835,Taped,,TV Asahi,
51399,Taped,,TV Asahi,
127498,Taped,2015-03-14,CadenaTres,
2041,Live,1998-10-18,,
137943,Taped,1974-04-13,,
1529,Taped,2005-02-25,FSN,0.2
162067,Taped,2016-10-13,POP TV,
4035,Taped,2005-09-23,UPN,2.5
73709,Taped,2012-01-10,Gaora TV,
70354,Taped,1995-02-04,Televisa Deportes,
107655,Taped,2014-02-26,ion Television,
104660,Taped,2014-01-09,Spike TV,1.2
371288,Live,2023-09-23,TNT,
97663,Taped,,Nippon TV,
33005,Taped,2008-03-22,CadenaTres,
2646,Live,,Spike TV,3.6
350537,Taped,,,
33000,Taped,2008-02-16,CadenaTres,
305007,Live,2021-03-07,YouTube.com,
81314,Taped,,NET TV,
100187,Taped,2013-08-24,Televisa Deportes,
58160,Taped,,TV Asahi,
58137,Taped,2010-11-26,,
111292,Taped,2014-05-19,USA Network,
3038,Taped,2000-05-11,UPN,5.0
350282,Live,2022-09-30,FOX,
2679,Taped,2005-02-03,UPN,3.2
73620,Taped,,Samurai! TV,
60964,Taped,1995-04-22,TV Asahi,
97946,Taped,2013-06-22,52MX,
88214,Taped,2003-11-29,Televisa Deportes,
183952,Taped,2017-10-02,Gaora TV,
71478,Taped,2011-11-12,Samurai! TV,
228491,Live,2019-04-08,YouTube.com,
46984,Taped,1995-05-21,Televisa Deportes,
13090,Taped,,ESPN,
182607,Taped,2004-02-09,Samurai! TV,
143473,Taped,1976-11-06,,
284114,Taped,,,
174925,Taped,1981-12-06,,
182013,Taped,2002-03-14,Samurai! TV,
241552,Taped,2019-09-14,Fight Network,
57866,Taped,1991-10-19,,
1276,,,,
107223,Taped,2014-02-21,WWE.com,
358977,Live,2023-02-18,FITE TV,
106929,Taped,2013-11-09,CadenaTres,
17525,Taped,1992-01-12,lokale TV Sender (USA),
248170,Taped,2019-11-26,YouTube.com,
171732,Live,2017-04-01,niconico.jp,
318698,Taped,2021-07-22,AXS TV,
17828,Taped,2008-02-21,Spike TV,1.12
100735,Taped,2013-09-11,ion Television,
385303,Live,2024-01-12,Boletia,
353317,Taped,2022-10-11,Wrestle Universe,
49791,Taped,2000-02-13,Televisa Deportes,
17319,Taped,1991-07-07,lokale TV Sender (USA),
300264,Live,2021-01-06,NJPWWorld.com,
180932,Live,2017-08-02,DDTuniverse.com,
304120,Live,2021-02-23,Wrestle Universe,
131816,Taped,2013-06-19,Challenge TV,
214366,Taped,2018-10-20,Fight Network,
10231,Taped,2004-09-19,Spike TV,
107804,Live,2014-02-27,WWE Network,
45291,Taped,2009-11-29,Samurai! TV,
60493,Taped,2011-03-10,Spike TV,1.25
24071,Taped,,WPW / NJ / IWTV Internet,
54095,Live,2010-08-08,,
41020,Taped,1998-03-21,TV Asahi,
112353,Taped,2014-07-01,Gaora TV,
70051,Taped,1994-08-27,Televisa Deportes,
295376,Live,2020-11-02,NJPWWorld.com,
265156,Taped,2020-05-01,FOX,
365951,Taped,2023-04-24,YouTube.com,
131888,Taped,1971-04-17,,
1220,,,,
70540,Taped,1995-04-22,Televisa Deportes,
85141,Taped,,TV Asahi,
319332,Taped,1991-01-05,TBS,
136899,Taped,2015-09-25,Gaora TV,
64809,Taped,1980-10-19,ESPN,
41994,Taped,2002-03-24,BS Asahi,
84845,Taped,2012-08-25,52MX,
201464,Taped,2018-06-28,Hulu,
321885,Taped,2021-09-03,Wrestle Universe,
242676,Taped,2019-09-27,Pursuit Channel,
104797,Live,1977-01-22,Nippon TV,
312268,Taped,1992-01-18,,
204942,Taped,1993-05-29,USA Network,
162344,Taped,1979-03-11,,
161626,Live,2016-10-03,YouTube.com,
135396,Live,2015-08-06,niconico.jp,
61195,Taped,2011-03-19,Samurai! TV,
227194,Taped,2019-05-17,lokale TV Sender (USA),
57581,Taped,2010-11-18,Spike TV,1.1
7983,Taped,2006-09-19,Sci Fi Channel,1.6
60534,Taped,2011-02-26,lokale TV Sender (USA),
2819,Taped,1999-05-03,USA Network,6.4
40452,Taped,2009-06-12,,
58790,Taped,2010-12-23,Spike TV,
68674,Taped,1993-08-28,Televisa Deportes,
119820,Live,2014-11-03,USA Network,
18706,Taped,2008-03-11,Sci Fi Channel,1.2
18102,Taped,1984-12-08,CHCH-TV,
97945,Taped,2001-05-24,lokale TV Sender (USA),
196017,Live,2018-03-23,Claro Sports,
72596,Taped,2011-12-13,,
122850,Live,2015-01-15,Samurai! TV,
86403,Taped,2002-11-30,Televisa Deportes,
135040,Taped,1973-05-19,,
333220,Live,2022-01-25,USA Network,
185325,Taped,1985-08-25,,
358550,Taped,2023-01-19,Hulu,
323777,Taped,1992-10-31,TBS,
58935,Taped,2010-12-28,WWE.com,
377364,Taped,2023-12-16,MVS TV,
59236,Taped,2000-04-15,,
192621,Live,2018-04-06,WWNLive.com,
216452,Live,2018-11-26,USA Network,
39287,Taped,,Gaora TV,
67103,Taped,2011-08-05,Syfy,1.8
81638,Taped,2000-07-15,Televisa Deportes,
76440,Taped,2012-01-29,lokale TV Sender (USA),
309209,Live,2021-05-11,USA Network,
265797,Taped,2020-05-13,USA Network,
139303,Taped,2015-11-07,Samurai! TV,
11186,Taped,2002-12-07,TNN,
347097,Taped,,,
99271,Taped,,TBS,
130718,Taped,2010-01-21,TNAwrestling.com,
141611,Taped,2015-12-01,Samurai! TV,
25363,Taped,,TheSuperstation.tv,
12128,Taped,,TV Asahi,
28390,Live,1980-07-26,PRISM Network,
290157,Live,2020-09-18,Wrestle Universe,
6826,Taped,2000-03-29,TBS,
131868,Taped,2013-10-23,Challenge TV,
226223,Taped,2019-03-13,WWE Network,
187527,Taped,1987-11-17,ESPN,
349620,Taped,2022-09-30,FITE TV,
65855,Taped,1980-08-23,,
142122,Taped,1976-04-10,,
251223,Taped,2019-12-27,WWE Network,
108941,Live,2014-04-02,Samurai! TV,
284829,Live,2020-08-15,Wrestle Universe,
302272,Live,2021-03-05,FOX,
174798,Taped,2017-05-06,lokale TV Sender (USA),
161135,Live,2016-09-18,YouTube.com,
306431,Live,2021-04-04,NJPWWorld.com,
245168,Live,2019-10-24,Samurai! TV,
71435,Taped,2011-12-02,Gaora TV,
360467,Taped,1976-10-23,lokale TV Sender (USA),
90228,Taped,2013-02-01,Samurai! TV,
30001,Live,2008-10-27,Samurai! TV,
71266,Live,2011-11-04,J-SPORTS ESPN,
162699,Taped,2016-10-29,Samurai! TV,
162092,Live,2016-10-07,ClaroSports.com,
45898,Taped,,TV Asahi,
172838,Live,2017-03-17,,
364847,Live,2023-04-10,AJPW.tv,
368944,Live,2023-08-16,TBS,
349987,Taped,2022-10-04,YouTube.com,
366117,Taped,2005-11-18,WWE.com,
133858,Taped,2015-07-04,CadenaTres,
359569,Taped,1972-05-20,lokale TV Sender (USA),
205763,Taped,2018-11-17,Fight Network,
261671,Taped,,,
19463,Taped,1998-01-24,TBS,
4521,Taped,2001-02-01,UPN,4.0
276180,Taped,2020-06-19,lokale TV Sender (USA),
186675,Taped,1986-04-27,,
185883,Taped,,niconico.jp,
96985,Taped,1999-03-11,lokale TV Sender (USA),
142733,Taped,2015-12-11,WWE Network,
305712,Taped,,AMX,
316598,Live,2021-07-01,Wrestle Universe,
312507,Live,2021-05-21,Dragon Gate Network,
132569,Taped,2014-03-26,Challenge TV,
28682,Taped,2008-10-02,Spike TV,1.0
107073,Taped,,Fox Sports,
68818,Taped,2011-09-10,Fox Sports,
76790,Taped,2012-03-22,WWE.com,
47377,Taped,1996-12-24,lokale TV Sender (USA),
246158,Taped,,,
370362,Live,2023-07-15,TNT,
126239,Taped,1966-12-17,,
320624,Live,2021-10-04,USA Network,
166139,Taped,2016-12-14,WWE Network,
79422,Live,2012-05-07,USA Network,3.0
50618,,,lokale TV Sender (USA),
174735,Taped,1981-11-08,,
91825,Taped,2004-08-07,Galavision,
78844,Taped,,NET TV,
27588,Live,2008-09-07,PPV Sender,
27093,Taped,2008-09-05,The CW,
21277,Taped,2008-05-16,WWE.com,
272941,Live,2020-06-16,NJPWWorld.com,
251536,Live,2020-01-19,NJPWWorld.com,
229223,Live,2019-04-19,Marca,
67294,Taped,2011-08-07,J-SPORTS ESPN,
305332,Live,2021-03-07,Dragon Gate Network,
96835,Live,2013-09-20,GoFightLive.tv,
4016,Live,1996-03-18,TNT,3.6
2484,Taped,2003-11-13,UPN,3.7
107050,Taped,2014-02-14,,
53935,Taped,,TV Asahi,
43577,Live,2009-09-28,USA Network,3.1
75875,Taped,2012-01-07,52MX,
364629,Live,2023-06-04,FITE TV,
238276,Taped,2019-08-27,DDTuniverse.com,
197397,Taped,,AJPW.tv,
37610,Taped,1993-04-18,Televisa Deportes,
196105,Live,2018-03-25,Twitch.tv,
61303,Taped,,Nippon TV,
65775,Taped,1980-08-16,,
92914,Taped,1994-12-03,TBS,
150865,Taped,2016-04-16,niconico.jp,
230410,Live,2019-08-09,FITE TV,
48286,Taped,1994-03-05,TV Asahi,
106982,Live,2014-02-10,USA Network,3.1
153222,Taped,1993-05-29,lokale TV Sender (USA),
135732,Taped,1973-08-18,,
315332,Live,2021-06-19,Wrestle Universe,
64322,Live,2011-06-06,USA Network,3.2
37768,Taped,1999-03-13,TBS,
18043,Taped,1984-03-17,lokale TV Sender (USA),
11693,Taped,2005-10-14,lokale TV Sender (USA),
94643,Taped,,TBS,
16471,Taped,1987-12-13,lokale TV Sender (USA),
54311,Taped,2010-07-30,MyNetworkTV,
345541,Live,2022-07-27,Samurai! TV,
51344,Taped,2003-06-22,Televisa Deportes,
130596,Taped,2009-07-24,TNAwrestling.com,
110448,Taped,2014-05-04,Samurai! TV,
168284,Live,2017-01-23,USA Network,
203026,Live,2018-07-17,YouTube.com,
104376,Live,2013-11-29,WWNLive.com,
2373,Taped,2003-02-22,TNN,0.8
4731,,,,
337157,Live,2022-05-25,TBS,
126262,Taped,2015-03-19,Nippon TV / G+,
129051,Live,2015-05-30,Samurai! TV,
308643,Taped,2021-04-15,Wrestle Universe,
350791,Taped,2022-09-01,AXS TV,
43287,Taped,,Gaora TV,
213133,Live,2018-10-26,NJPWWorld.com,
48784,Taped,2010-03-08,J-SPORTS ESPN,
183363,,,,
127518,Taped,2015-04-08,WWE Network,
122041,Taped,2014-12-20,Fox Sports,
359688,Taped,2023-03-03,NJPWWorld.com,
42747,Taped,2009-09-12,Fox Sports,
11391,Taped,2007-05-18,The CW,
241702,Live,2019-09-23,USA Network,
206934,Taped,1982-11-13,,
166926,Live,2017-11-18,WWE Network,
54950,Taped,2010-08-17,Syfy,
9321,Taped,2003-11-09,Spike TV,
82049,Taped,2012-06-23,CadenaTres,
68532,Taped,1993-06-19,Televisa Deportes,
366110,Live,2005-07-10,Spike TV,
13072,Taped,1989-03-04,lokale TV Sender (USA),
256455,Taped,2020-04-09,BT Sport,
339858,Live,2022-04-26,USA Network,
9242,Taped,2009-04-19,lokale TV Sender (USA),
15668,Taped,2007-12-24,Samurai! TV,
201121,Live,2018-06-15,Claro Sports,
350480,Live,2022-08-28,Twitch.tv,
326026,Taped,1998-05-30,,
137984,Live,2015-09-28,YouTube.com,
41861,Taped,1996-11-30,TV Asahi,
234057,Taped,2019-07-23,DDTuniverse.com,
45201,Taped,2010-01-25,HDNet,
11489,Taped,2004-04-24,lokale TV Sender (USA),
107988,,,,
351691,Taped,2022-09-15,AXS TV,
293278,Taped,,,
98345,Taped,2013-07-17,ion Television,
38808,Taped,1999-09-18,TBS,1.4
62027,Taped,2003-01-02,MTV,
254371,Live,2020-02-08,Twitch.tv,
180143,Taped,1984-12-09,,
78236,Taped,2012-04-20,Syfy,1.8
360630,Live,2023-05-04,Samurai! TV,
222841,Live,2019-02-09,niconico.jp,
19575,Taped,2002-02-23,Samurai! TV,
93805,Taped,2013-03-29,Syfy,2.0
16607,Taped,1988-10-30,lokale TV Sender (USA),
10254,Taped,2005-06-26,Premiere,
200883,Taped,2018-07-18,WWE Network,
357991,Taped,2022-12-21,Wrestle Universe,
342834,Taped,2022-05-13,NJPWWorld.com,
13444,Taped,2007-09-07,The CW,2.3
92900,Taped,,MTV,
81973,Taped,2001-01-27,Televisa Deportes,
186936,Live,2017-11-11,ROHWrestling.com,
125593,Taped,1966-05-23,,
103340,Taped,2013-11-14,Spike TV,1.0
367014,Live,2023-05-12,YouTube.com,
272947,Live,2020-07-02,NJPWWorld.com,
376930,Live,2023-11-25,TNT,
96811,Taped,1964-06-30,,
298448,Live,2020-12-05,Dragon Gate Network,
20194,Taped,2002-05-04,Samurai! TV,
124990,Taped,1966-01-10,,
366524,Live,2023-05-04,Dragon Gate Network,
312366,Taped,2021-06-24,Hulu,
161283,Taped,2016-10-02,Samurai! TV,
362807,Live,2023-03-09,AbemaTV,
301124,Taped,,MVS TV,
291359,Live,2020-09-23,Wrestle Universe,
164384,,,,
358790,Taped,2022-12-29,AXS TV,
189152,Live,2017-12-19,WWE Network,
2031,Live,1998-08-10,USA Network,4.5
265832,Taped,2020-05-07,BT Sport,
78118,Taped,1996-02-17,Televisa Deportes,
16004,Taped,2000-12-16,lokale TV Sender (USA),
126233,Taped,1966-12-13,,
24633,Taped,,lokale TV Sender (USA),
365735,Live,2023-04-22,AJPW.tv,
267710,Live,1954-07-13,CBOT Television,
332676,Live,2021-12-27,AbemaTV,
125946,,,,
186477,Live,2017-11-03,Claro Sports,
94007,Taped,2013-04-06,Televisa Deportes,
44565,Taped,2009-11-09,J-SPORTS ESPN,
168949,Live,2017-01-02,YouTube.com,
11426,Taped,2003-07-20,lokale TV Sender (USA),
6863,Live,,PPV Sender,
137342,Live,2015-09-21,USA Network,
140932,Taped,1975-08-02,,
36896,Taped,1995-05-20,lokale TV Sender (USA),
304902,Taped,2021-03-02,AXS TV,
357440,Taped,1998-01-25,lokale TV Sender (USA),
11807,Taped,2005-12-30,lokale TV Sender (USA),
140882,Taped,1975-06-07,,
125884,Taped,1966-10-04,,
133609,Taped,2015-01-21,Challenge TV,
250101,Live,2020-02-19,TNT,
271802,Taped,2020-07-24,FOX,
351882,Taped,,,
307851,Taped,2020-08-09,beIN SPORTS (USA),
68667,Taped,1993-07-31,Televisa Deportes,
17925,Taped,1993-09-11,lokale TV Sender (USA),
16182,Taped,,Samurai! TV,
4612,Taped,2005-11-06,WWE.com,
284187,Live,2020-10-10,NJPWWorld.com,
325975,Live,2021-10-15,YouTube.com,
349639,Live,2022-10-05,TBS,
339141,Live,2022-03-26,Wrestle Universe,
342771,Taped,2022-05-16,YouTube.com,
192758,Live,2018-02-03,DDTuniverse.com,
154290,Taped,,,
367664,Taped,2023-05-25,AXS TV,
353930,Taped,,,
96544,Taped,2013-06-05,ion Television,
2330,Live,,TNN,3.4
42765,Taped,2009-08-27,Spike TV,1.1
265992,Taped,2020-05-07,Hulu,
64648,Taped,1992-03-29,Televisa Deportes,
78625,Taped,2012-04-21,Fox Sports,
58965,Taped,1991-03-16,TBS,
53907,Taped,2010-07-22,WGN,
48730,Taped,1998-02-21,Televisa Deportes,
64910,Taped,2011-07-10,Televisa Deportes,
75912,Taped,,TV Asahi,
91053,Taped,2013-02-01,WWE.com,
82778,Taped,2012-06-30,Fox Sports,
334236,Taped,2022-01-13,AXS TV,
66275,Taped,2011-07-15,Syfy,1.7
391273,Taped,2015-12-08,Challenge TV,
293332,Taped,,,
94215,Taped,1995-02-11,TBS,
216620,Live,2018-11-29,Samurai! TV,
100688,Live,2013-09-09,USA Network,2.9
77531,Taped,2012-03-26,52MX,
356405,Live,2022-12-30,FOX,
319388,Live,2021-07-30,Wrestle Universe,
307852,Taped,2020-08-16,beIN SPORTS (USA),
351444,Taped,,,
23501,Taped,,Samurai! TV,
296887,Live,2020-11-19,NJPWWorld.com,
387944,Taped,1999-08-08,Samurai! TV,
19466,Taped,1998-02-28,TBS,
49274,Taped,1995-12-16,TV Asahi,
212674,Taped,2018-10-18,POP TV,
183617,Live,2017-09-12,WWE Network,
123757,Taped,1965-08-23,,
249358,Live,2019-12-08,DDTuniverse.com,
54587,Live,2011-04-03,PPV Sender,
297110,Taped,2020-12-10,Hulu,
351837,Taped,,,
176277,Taped,2017-06-15,POP TV,
334598,Live,2022-02-08,Syfy,
289798,Taped,1993-03-06,,
196380,,,,
124890,Live,2015-02-27,NJPWWorld.com,
16892,Taped,1989-07-01,TBS,
136474,Taped,2015-09-06,Samurai! TV,
133487,Taped,1972-07-01,,
333216,Live,2022-01-11,USA Network,
157690,Taped,1977-11-12,,
8470,Live,1999-06-06,USA Network,
19774,Taped,1986-01-11,lokale TV Sender (USA),
55832,Taped,2007-10-14,Televisa Deportes,
21117,Taped,1989-09-16,TBS,
132467,Taped,2013-12-04,Challenge TV,
65927,Taped,2011-07-29,G+,
353901,Taped,,,
249291,Live,2019-12-07,DDTuniverse.com,
51108,Taped,2010-05-14,MyNetworkTV,1.6
198680,Taped,2018-05-17,Samurai! TV,
373325,Taped,1991-03-17,TBS,
238130,Taped,2013-11-10,DragonGateStudio.com,
20451,Taped,2008-04-18,WWE.com,
7521,Taped,2000-11-01,TBS,2.05
64400,Taped,1992-02-09,Televisa Deportes,
31287,Taped,2008-11-24,J-SPORTS ESPN,
247935,Live,2019-11-24,Samurai! TV,
376570,Taped,2023-11-11,TNT,
237438,Live,2019-08-17,AJPW.tv,
143360,Taped,2015-12-18,WWE Network,
104814,Live,2014-01-10,Nippon TV,
138958,Live,2015-10-18,NJPWWorld.com,
329078,Taped,2021-11-16,Impact Plus,
8523,Taped,1999-07-18,USA Network,3.86
321884,Taped,2021-09-01,Wrestle Universe,
49783,Taped,1999-11-21,Televisa Deportes,
76860,Taped,2012-03-23,Syfy,1.8
231856,Taped,2019-07-20,Fight Network,
208260,Live,2018-09-08,Samurai! TV,
272793,Taped,1990-09-17,,
84854,Taped,2012-08-25,Televisa Deportes,
16812,Taped,1989-11-12,USA Network,
135161,Live,2015-06-05,AXS TV,
102577,Taped,2013-12-12,,
136160,Taped,2015-08-21,AXS TV,
125056,Taped,1966-01-24,,
337371,Live,2022-06-03,TNT,
51089,Live,2010-05-10,USA Network,3.1
101694,Live,2013-10-07,USA Network,
316286,Taped,1990-09-22,,
9787,Taped,2002-01-06,Samurai! TV,
3575,Taped,1995-02-19,Syndication,
320757,Taped,1997-06-15,lokale TV Sender (Canada),
130750,Taped,1970-09-19,,
218032,Taped,2018-12-08,lokale TV Sender (USA),
175036,Taped,1982-01-17,,
355099,Taped,2023-01-27,TNT,
33910,Live,1993-01-18,,
84529,Taped,2002-06-29,Televisa Deportes,
127445,Taped,1967-08-12,,
171891,Live,2017-04-04,USA Network,
21240,Taped,,Gaora TV,
181970,Taped,2001-12-13,Samurai! TV,
152236,Taped,2016-05-14,Televisa Deportes,
90173,Taped,2013-01-11,WWE.com,
250314,Taped,2019-12-19,WWE Network,
374175,Live,2023-10-14,FITE TV,
50199,Taped,,TV Asahi,
71798,Taped,,TV Asahi,
27348,Live,1979-07-21,PRISM Network,
366377,Live,2007-12-14,WWE.com,
157771,Taped,2016-07-08,WWE Network,
90171,Taped,2013-05-03,PPV Sender,
215379,Live,2018-11-16,Marca,
246155,Taped,,,
179320,Taped,1998-03-25,Samurai! TV,
168341,Taped,2017-01-24,WWE Network,
229881,Live,2019-04-30,WWE Network,
10400,Live,,Sci Fi Channel,1.6
52394,Taped,,Gaora TV,
51314,Taped,2010-06-21,Gaora TV,
247659,Live,2019-11-20,USA Network,
161211,Live,2016-09-20,USA Network,
55395,Taped,1994-09-03,TBS,
323073,Taped,2021-09-09,AXS TV,
328592,Taped,2021-12-17,WWE Network,
323846,Taped,1992-12-05,TBS,
204887,Taped,2018-08-09,Hulu,
207032,Taped,1982-08-14,,
206798,Taped,2018-11-28,WWE Network,
187525,Live,2017-11-20,USA Network,
167167,Taped,,KPLR,
245037,Live,2019-10-23,NJPWWorld.com,
97922,Taped,2000-10-12,lokale TV Sender (USA),
324535,Live,2021-11-05,FOX,
41629,Taped,1997-03-22,TV Asahi,
291409,Taped,,,
246771,Live,2020-01-12,,
352273,Live,2022-09-27,FITE TV,
251595,Live,2020-08-22,WWE Network,
106599,Live,2014-03-07,niconico.jp,
76577,Taped,2012-03-10,Galavision,
36043,Live,2009-03-01,Nippon TV / G+,
112123,Taped,,niconico.jp,
133310,Taped,2014-09-17,Challenge TV,
77626,Taped,2012-04-29,Televisa Deportes,
362066,Taped,2023-04-11,YouTube.com,
1505,Taped,2004-10-01,FSN,
370898,Live,2023-07-14,Ticketmaster Live,
4634,Taped,2002-11-21,UPN,3.5
244005,Taped,,,
336515,Live,2022-02-14,YouTube.com,
103231,Taped,,Nippon TV,
50470,Taped,2010-04-27,Samurai! TV,
225074,Live,2019-03-03,Twitch.tv,
73908,Taped,2012-01-12,WWE.com,
84709,Taped,2002-09-07,Televisa Deportes,
16552,Taped,1988-06-26,lokale TV Sender (USA),
162459,Taped,1979-04-08,,
269668,Taped,2020-06-05,WWE Network,
2438,Taped,2003-07-12,Spike TV,0.7
94857,Taped,2013-04-27,Televisa Deportes,
15632,Taped,1994-12-17,lokale TV Sender (USA),
361747,Taped,2023-02-16,AXS TV,
324528,Live,2021-11-01,USA Network,
344601,Live,2022-06-07,Wrestle Universe,
306502,Taped,2021-04-02,USA Network,
97244,Taped,,Nippon TV,
211295,Taped,2018-10-11,Hulu,
3005,Taped,,Nippon TV,
370420,Live,2023-07-09,Wrestle Universe,
388052,Live,2024-04-06,TV Asahi,
37453,Taped,1986-02-03,USA Network,
76408,Taped,2012-03-15,Samurai! TV,
281290,Taped,,Samurai! TV,
152087,Taped,2016-05-31,NJPWWorld.com,
350703,Live,2022-10-23,FITE TV,
45936,Taped,,Televisa Deportes,
68263,Taped,2011-09-03,Samurai! TV,
270283,Taped,2020-05-27,AJPW.tv,
293924,Taped,,,
186763,Taped,2017-11-08,WWE Network,
27819,Taped,,TV Asahi,
9359,Taped,2003-09-14,Spike TV,
96277,Taped,,Nippon TV,
324068,Live,2021-09-20,Dragon Gate Network,
94967,Taped,,Nippon TV,
117228,Live,2014-09-16,WWE Network,
70772,Live,2011-10-23,J-SPORTS ESPN,
5576,Live,2001-12-09,Nippon TV,
64239,Taped,1991-09-07,Televisa Deportes,
134999,Taped,1973-04-07,,
120636,Taped,2014-11-22,CadenaTres,
82401,Taped,1991-06-15,,
99569,Taped,2013-08-17,Fox Sports,
156380,Live,2016-06-20,USA Network,
178211,Taped,1983-10-23,,
67622,Taped,2011-08-16,WWE.com,
4334,,,,
156639,Live,2016-06-24,ClaroSports.com,
160713,Taped,2016-09-07,Hulu,
315939,Taped,1990-08-18,TBS,
4354,Live,1999-12-06,TNT,3.0
63187,Live,2011-05-05,PPV Sender,
134096,Taped,2015-08-12,WWE Network,
198440,Live,2018-05-08,WWE Network,
195304,Taped,2018-03-13,DDTuniverse.com,
81365,Live,2012-08-01,TV Asahi,
37442,Taped,1986-02-08,lokale TV Sender (USA),
312521,Taped,2000-06-04,ITV2,
179130,Live,2017-07-03,USA Network,
351118,Live,2022-10-09,YouTube.com,
83966,Taped,1989-01-15,lokale TV Sender (USA),
243464,Taped,2019-10-04,Pursuit Channel,
146443,Taped,1991-08-10,lokale TV Sender (USA),
363246,Taped,2023-03-18,YouTube.com,
33517,Taped,2009-01-01,Spike TV,1.0
129490,Taped,2010-01-28,TNAwrestling.com,
