event_id,broadcast_type,broadcast_date,tv_station_network,tv_rating
43802,Taped,1994-01-30,Televisa Deportes,
55132,Taped,2010-08-26,Spike TV,1.1
285577,Live,1980-12-13,PRISM Network,
2449,Live,,TNN,4.0
345190,Taped,2022-06-16,YouTube.com,
95695,Taped,2013-05-17,Syfy,
136562,Taped,2015-10-01,Samurai! TV,
216485,Taped,2018-12-04,Samurai! TV,
39698,Taped,2009-05-28,WGN,
352162,Live,2022-11-12,FITE TV,
98034,Live,2013-11-24,,
155769,Taped,2016-06-26,Gaora TV,
149921,Taped,2016-03-30,WWE Network,
361798,Taped,1977-09-10,lokale TV Sender (USA),
211114,Taped,2018-10-10,DDTuniverse.com,
47481,Taped,1997-12-20,lokale TV Sender (USA),
380466,Live,2024-01-22,USA Network,
77478,Taped,1991-01-05,,
184370,Taped,2017-08-26,lokale TV Sender (USA),
2160,Live,2000-09-04,USA Network,4.2
233219,Live,2019-07-02,WWE Network,
180722,Taped,2016-12-09,AXS TV,
23814,Taped,1996-09-21,Galavision,
133365,Live,2015-08-11,Samurai! TV,
82799,Taped,2012-07-27,Syfy,1.9
150243,Taped,2016-04-07,USA Network,
33870,Taped,1992-08-21,lokale TV Sender (USA),
91691,Taped,2013-02-04,,
47299,Taped,1995-09-12,lokale TV Sender (USA),
18690,Taped,2008-03-13,Spike TV,1.12
361411,Live,2023-02-11,Dragon Gate Network,
8327,Taped,2001-01-31,TBS,2.2
299174,Taped,2021-01-21,Hulu,
123370,Taped,2015-01-10,lokale TV Sender (USA),
301840,Live,2021-01-30,FITE TV,
94652,Taped,,TBS,
338367,Taped,2022-03-12,YouTube.com,
128356,Live,2015-04-26,WWE Network,
17957,Taped,1994-10-30,lokale TV Sender (USA),
33908,Taped,1993-01-16,lokale TV Sender (USA),
65612,Taped,,Gaora TV,
226953,,,Dragon Gate Network,
47305,Taped,1995-11-28,lokale TV Sender (USA),
368145,Taped,2023-06-01,AXS TV,
46533,Taped,2013-01-12,,
391580,Taped,1990-06-23,,
129666,Taped,1970-04-04,,
235988,Live,2019-08-04,Dragon Gate Network,
202783,Live,2018-07-17,WWE Network,
363472,Live,2023-03-22,Wrestle Universe,
179579,Taped,1984-07-01,,
376393,Taped,2000-01-22,,
355756,Live,2022-12-02,Samurai! TV,
56461,Taped,2010-10-08,Syfy,
184556,Taped,2017-04-08,lokale TV Sender (USA),
21539,Live,2002-10-27,SKY PerfecTV!,
12509,Live,1995-09-17,TBS,2.0
46300,Taped,1995-02-25,Televisa Deportes,
102315,Taped,2013-11-07,Samurai! TV,
171705,Live,2017-03-30,FloSlam.tv,
19747,Taped,,lokale TV Sender (USA),
61871,Taped,2002-04-04,MTV,
37469,Live,2009-04-06,USA Network,3.9
349741,Live,2022-08-19,Ticketmaster Live,
252691,Taped,1992-10-24,TBS,
378833,Live,2023-12-27,TBS,
53620,Taped,2010-07-23,Gaora TV,
345549,Live,2022-08-10,Samurai! TV,
67280,Taped,2011-08-14,Samurai! TV,
149880,Live,2016-03-28,YouTube.com,
195964,Live,2018-03-20,YouTube.com,
2394,Live,2003-04-07,TNN,3.5
209874,Live,2018-09-24,AJPW.tv,
114424,Taped,2014-07-05,lokale TV Sender (USA),
86311,Live,2012-10-14,Spike TV,
319612,Live,2021-08-17,NJPWWorld.com,
44924,Taped,1996-07-13,TV Asahi,
58144,Taped,2010-11-23,WWE.com,
137889,Taped,2015-07-08,Challenge TV,
369293,Taped,2023-06-20,YouTube.com,
58204,Taped,2010-12-09,Samurai! TV,
326038,Taped,1998-05-09,,
133628,Taped,2015-08-08,Televisa Deportes,
4425,Taped,2001-01-23,TNT,
247122,Taped,,,
60154,Taped,,TV Asahi,
101826,Taped,2013-02-19,Challenge TV,
115770,Taped,1977-03-05,,
47389,Taped,1997-01-30,lokale TV Sender (USA),
181979,Taped,2002-01-24,Samurai! TV,
11845,Taped,2006-09-01,lokale TV Sender (USA),
24200,Taped,2005-12-07,Samurai! TV,
257529,Taped,2020-03-14,beIN SPORTS (USA),
366028,Live,2023-07-23,NJPWWorld.com,
13640,Taped,1989-09-16,lokale TV Sender (USA),
189940,Live,2017-12-29,Claro Sports,
108511,Taped,1993-01-16,USA Network,
85402,Taped,,TV Asahi,
156569,Taped,2016-06-17,AXS TV,
205656,Taped,1993-06-27,lokale TV Sender (USA),
1232,,,,
110756,Taped,2014-05-03,Televisa Deportes,
47261,Taped,1994-12-27,lokale TV Sender (USA),
297106,Live,2020-11-30,USA Network,
115288,Taped,,TBS,
9254,Taped,2006-12-01,WWE.com,
281351,Live,2020-07-18,,
74365,Taped,2012-01-27,Gaora TV,
2961,Live,1999-11-22,USA Network,5.5
255462,Taped,2020-02-25,YouTube.com,
225690,Taped,2019-03-12,DDTuniverse.com,
250459,Live,2022-03-06,FITE TV,
157355,Live,2016-07-04,YouTube.com,
88409,Taped,2012-11-21,ion Television,
96420,Live,1973-09-08,Nippon TV,
197691,Taped,2018-04-19,Fight Network,
290069,Taped,2020-09-23,USA Network,
88843,Taped,2012-12-07,Gaora TV,
180241,Live,2017-08-20,Samurai! TV,
70485,Taped,1995-03-04,Televisa Deportes,
87600,Taped,,TV Asahi,
47259,Taped,1994-12-06,lokale TV Sender (USA),
333761,Taped,2022-01-08,NJPWWorld.com,
38556,Taped,1999-07-17,TBS,
129780,Taped,1970-05-16,,
